,Unnamed: 0,Unnamed: 0.1,Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Lat,Lon,Year
1105,1105,1105,01/14/1951,14:13,"Philadelphia, Pennsylvania",National Airlines,83,Newark - Philadelphia,Douglas DC-4-1009,N74685,43102,28.0,7.0,0.0,"The plane overshot the landing, ran into a ditch and caught fire. Pilot error in electing to land long, on a wet and snow covered runway instead of executing a missed approach.",39.952724,-75.163526,1951
1106,1106,1106,01/16/1951,12:14,"Near Reardon, Washington",Northwest Orient Airlines,115,Minneapolis - Seattle,Martin 202,N93054,9144,10.0,10.0,0.0,"While cruising at 6,000 ft.,  the aircraft when out of control and into a dive, hitting the ground at 340 mph.  Officially the cause was never determined.  Possible in-flight fire, explosion, structural failure or conrol system failure.",45.162443,-67.238369,1951
1107,1107,1107,01/17/1951,14:36,"Near Civitavecchia, Italy",Alitalia,,Paris - Rome,Savoia Marchetti SM-95,I-DALO,10,17.0,14.0,0.0,"The aircraft plunged to the ground from 6,500 feet after being struck by lightning. Lightning ignited a mixture of air and fuel fumes in the fuel tank.",42.093752,11.792246,1951
1108,1108,1108,01/28/1951,08:40,"Near An tung, Taiwan",Military -Royal Air Force,,"Hong Kong - Iwakuni, Japan",Short Sunderland 9 (flying boat),PP107,,16.0,16.0,0.0,Crashed into mountainous terrain while en route. Most likely weather related.,24.04611,120.50278,1951
1116,1116,1116,03/22/1951,23:50,Over the North Atlantic,Military - U.S. Air Force,,Loring AFB - Lakeheath AFB,Douglas C-124A Globemaster,49-244,43173,53.0,53.0,0.0,"The aircraft suffered an catastrophiexplosion and crashed into the sea approximately 750 miles west of Limerick, Ireland. Cause unknown",39.55485,-74.419155,1951
1122,1122,1122,04/08/1951,11:35,"Near Charleston, West Virginia",Military - U.S. Air Force,,"Godman AFB - Charleston, WV",Douglas C-47B-DK,43-48298,25559,21.0,21.0,0.0,"The aircraft crashed into a wooded area, 8 miles NE of Charlston, after making a final turn to land at Kanawha County Airport. Both wings were sheared off and the aircraft burst into flames.",38.3506,-81.633281,1951
1125,1125,1125,04/28/1951,19:32,"Fort Wayne, Indiana",United Air Lines,129,Cleveland - Fort Wayne - South Bend - Chicago,Douglas DC-3,N16088,1927,11.0,11.0,0.0,The aircraft crashed after being caught in a squall line with 65-85 mph winds and heavy rain. Windshear. The severe downdraft encountered which caused the aircraft to strike the ground in a near level attitude.,41.07999,-85.138601,1951
1126,1126,1126,05/06/1951,12:30,"Near Albuquerque, New Mexico",Military - U.S. Air Force,,,Convair B-36D,49-2660,,25.0,23.0,0.0,"The aircraft crashed while attempting to land at Kirkland AFB in gusty winds. The pilot appeared to have difficulty keeping the wings level. The plane crossed the threshold left of the center line. When the pilot corrected, the right starboard jet pod and No. 6 propeller struck the runway. The pilot attempted a go-around with the No.6 engine afire but crashed to earth bursting into flames.",35.164659,-106.52998,1951
1132,1132,1132,06/22/1951,03:25,"Near Sanoyea, Liberia",Pan American World Airways,151,Johannesburg - Accra - Monrovia - New York,Lockheed 049 Constellation,N88846,2046,40.0,40.0,0.0,"The plane crashed into a hill at 1000 ft. in a level descending attitude, 54 miles from the airport. The pilot descended below en route minimum altitude without knowing the aircraft's position. The aircraft was named Clipper Great Republic.",6.975746,-9.982525,1951
1134,1134,1134,06/30/1951,02:00,"Rocky Mountain Nat. Park, near Ft. Collins, Colorado",United Air Lines,610,Salt Lake City - Denver,Douglas DC-6B,N37543,43144/155,50.0,50.0,0.0,"En route from San Francisco to Denver after passing the Cheyenne radio range the aircraft turned south in the wrong heading. Flying in darkness, the aircraft continued on this course until it hit Crystal Mountain. The captain may have depressed the wrong control switch or may have turned his ADF in such a way that it was affected by the radio range station at Fort Bridger, WY. Officially, the flight for reasons undetermined, failed to follow the prescribed route to Denver and continued beyond the boundary of the airway on a course which resulted in the aircraft striking mountainous terrain.",39.326208,-106.655646,1951
1138,1138,1138,07/12/1951,22:45,"Lyneham AFB, England",Military - Royal Air Force,,,Vickers Valetta C-1,VW194,,10.0,10.0,0.0,One engine caught fire. The propellers of the working engine were feathered. The plane crashed.,51.512915,-1.970549,1951
1141,1141,1141,07/21/1951,00:00,"Near Sitka, Alaska",Canadian PacifiAir Lines,,Vancouver - Tokyo,Douglas C-54A,CF-CPC,10327,37.0,37.0,0.0,"Disappeared with no trace over the PacifiOcean while flying from Vancouver to Tokyo. The last message was received while the aircraft was near Yakutat, Alaska with no reports of probems. Cause undetermined.",57.052497,-135.337612,1951
1145,1145,1145,08/11/1951,09:25,"Moisville, France",Air France,,Training,Douglas DC-3D,F-BAXB,42971,5.0,5.0,0.0,"Abnormal flight maneuver made when the crew experienced difficulty in resuming normal flight on the two engines. Overspeed, reduction of pitch or difficulty in restarting the engine may have created a dangerous situation and caused the aircraft to stall in dissymmetrical flight, thus subjecting the airframe to stresses accompanied by buffeting which was either alternating or exceeded the design limits of the structure and caused the tail-plane to break off.",48.839558,1.165272,1951
1147,1147,1147,08/24/1951,04:28,"Decoto, California",United Air Lines,615,Boston - Hartford - Cleveland - Chicago - Oakland,Douglas DC-6B,N37550,43260/180,50.0,50.0,0.0,"Cleared for an approach to Oakland Municipal Airport, the aircraft crashed 15 miles SSE of the airport into Tolman peak. Patches of fog obscured the terrain. The aircraft struck a hill at an elevation of about 1,000 ft. at 225 to 240 mph. Neither of its 2 low-frequency receivers were tuned to the Oakland station and the captain may have attempted to fly by visual reference using the ADF.  As a result, the flight was 3 miles off course and well below the minimum prescribed altitude. The failure of the captain to adhere to instrument procedures in the Newark area during an approach to the Oakland Municipal  Airport.",37.591601,-121.997739,1951
1149,1149,1149,09/12/1951,10:46,"Off Redwood City, California",United Air Lines,,,Boeing 377 Stratocruiser 10-34,N31230,15970,3.0,3.0,0.0,"The aircraft, with the No. 4 propeller feathered, stalled and dived into San Francisco Bay. An inadvertent stall at a low altitude from which recovery was not effected.",37.486324,-122.232523,1951
1159,1159,1159,11/05/1951,09:29,"Near Tucumcari, Arazona",Transocean Air Lines,CAM5763,Oakland - Albuquerque,Martin 202,N93039,9160,29.0,1.0,0.0,"Crashed while attempting to land at Albuquerque in marginal weather conditions. The captain's attempt to land during less than minimum visibility, rather than proceed to his alternate.  A military contract flight.",,,1951
1164,1164,1164,12/04/1951,07:25,"Denver, Colorado",United Air Lines,,Training,Douglas DC-3A,N17109,4999,3.0,3.0,0.0,"Stalled, entered a spin and crashed. An inadvertent spin at an altitude too low for recovery.",39.739236,-104.984862,1951
1169,1169,1169,12/30/1951,22:07,"Near Fairbanks, Alaska",Transocean Air Lines,501,Umiat - Fairbanks,Curtiss C 46F-CU,N68963,22485,4.0,4.0,0.0,"The flight made an authorized left turn while outbound on the east leg of the Fairbanks radio range and subsequently struck Chena Dome, northeast of the station while on a westerly heading. The failure of the pilot to follow procedures and utilize properly the radio facilities for approach and letdown at Fairbanks with the result that the flight became lost.",64.837845,-147.716675,1951
1170,1170,1170,12/30/1951,15:40,"Near Phoenix, Arizona",Military - U.S. Air Force,,New York - Williams AFB,Douglas C-47D,47-76266,,28.0,28.0,0.0,"Crashed into a mountainside at an altitude of 7,000 ft. while en route.",33.448437,-112.074142,1951
1174,1174,1174,01/19/1952,01:38,"Off Sandspit, BC, Canada",Northwest Orient Airlines,324,Tokyo - Elmendorf AFB,Douglas DC-4,N45342,27279,43.0,36.0,0.0,"The crew chose to divert to Sandpit after the No. 1 engine was shut down. The aircraft crashed into the PacifiOcean one mile offshore after overshooting the runway during the emergency landing. A nose gear retraction difficulty in connection with an icing condition or a power loss, which made the aircraft incapable of maintaining flight. Most of the fatalities were from exposure to the frigid water.",53.243532,-131.828149,1952
1175,1175,1175,01/22/1952,15:43,"Elizabeth, New Jersey",American Airlines,6780,Buffalo - Newark,Convair CV-240-0,N94229,054,23.0,23.0,7.0,"The aircraft crashed into an apartment house during its approach, 3 miles short and right of the runway.  The plane crashed while level laterally but in a steep descending attitude.  Most likely cause was carburetor icing. Official cause unknown.",40.663992,-74.210701,1952
1178,1178,1178,02/11/1952,00:20,"Elizabeth, New Jersey",National Airlines,101,,Douglas DC-6,N90891,43055/37,63.0,29.0,4.0,The aircraft crashed into an apartment complex shortly after taking off. The last message from the pilot was 'I've lost an engine and am returning to field.'   Reversal in flight of No. 3 propeller and subsequent feathering of No. 4 propeller at too low an altitude to effect a recovery.,40.663992,-74.210701,1952
1179,1179,1179,01/07/1953,20:55,"Issaquah, Washington",Flying Tiger Line,841,San Francisco - Seattle,Douglas C-54B-10-DO,N86574,18350,7.0,7.0,0.0,The plane trees and high ground while on approach. The flight's deviation from the established approach procedure.,47.534878,-122.043297,1953
1184,1184,1184,03/03/1952,08:10,"Nice, France",Air France,,Nice - Paris,SNCASE Languedoc,F-BCUM,43,38.0,38.0,0.0,"After taking off, the plane was observed turning to the left until it turned on its back and crashed. Malfunction of ailerons. The gear chain of the co-pilot's control column slipped off the sprocket and jammed the aileron controls.",43.700936,7.268391,1952
1188,1188,1188,03/22/1952,10:45,"Frankfurt, Germany",KLM Royal Dutch Airlines,,Rome - Frankfort,Douglas DC-6,PH-TPJ,43111/102,47.0,44.0,0.0,Crashed and burst into flames two miles short of the runway in rain and fog during the approach. Cause unknown. The aircraft was named 'Koningin Juliana.',50.110644,8.682092,1952
1194,1194,1194,04/09/1952,08:07,"Mihara Volcano, Japan",Japan Air Lines,,Tokyo - Osaka,Martin 202,N93043,9164,37.0,37.0,0.0,"On an early morning flight, under instrument conditions, the crew flew the route segment from Tokyo to Oshima Island 1,000 ft. below the minimum instrument altitude.  At Oshima Island the aircraft crashed into the side of Mihara volcano.",34.953614,134.428167,1952
1196,1196,1196,04/11/1952,12:20,"North of San Juan, Puerto Rico",Pan American World Airways,526A,San Juan - New York City,Douglas DC-4,N88899,10503,69.0,52.0,0.0,"After taking off from Isle Grande Airport the crew had engine problems.The aircraft then crashed into the AtlantiOcean. The ditching took place in turbulent seas. The tail broke off on impact and the aircraft stayed afloat for only 3 minutes and sank.  The company's inadequate maintenance in not changing the No. 3 engine which resulted in its failure immediately subsequent to takeoff and the persistent action of the captain in attempting to re-establish a climb, without using all available power, following the critical loss of power to another engine. This resulted in a nose-high attitude, progressive loss of air speed and the settling of the aircraft at too low an altitude to effect recovery. The aircraft was named Clipper Endeavor.",18.465299,-66.116666,1952
1199,1199,1199,04/29/1952,04:40,"Near Carolina, Brazil",Pan American World Airways,202,Rio de Janeiro - New York City,Boeing 377-10-26 Stratocruiser,N1039V,15939/12,50.0,50.0,0.0,"The flight crashed into the jungle about 887 nm NNW of Rio de Janerio. Separation of the propeller blade leading to separation of the No. 2 engine due to highly unbalance forces, leading to the distintegration of the aircraft. The aircraft was named 'Clipper Good Hope.'",-7.331344,-47.473876,1952
1205,1205,1205,05/26/1952,08:45,"Near Atar, Mauritania",British Overseas Airways,251,Tripoli - Kano,Handley Page HP-81 Hermes IV,G-ALDN,HP-81/15,18.0,1.0,0.0,"The crew became lost in the desert, ran out of fuel and made a forced landing.  Survivors had to be led by a rescue team 15 miles to an oasis before they could be evacuated.  The co-pilot died 5 days later from head injuries suffered in the accident. Navagational errors by the crew. Improper adjustment of the parameters of the  gyroscopicompass CL2 Gyrosyn by the navigator.  Absence of radio assistance and incorrect use of the compasses. Captain's decision  to use the gyroscopicompass in the place of the magneticompass which was inoperative. The aircraft was named 'Horus.'",20.518277,-13.054375,1952
1209,1209,1209,07/27/1952,11:46,"Off Rio de Janeiro, Brazil",Pan American World Airways,201,Rio de Janeiro - Buenos Aires,Boeing 377 Stratocruiser,N1030V,15939,27.0,1.0,0.0,A woman was suck out of the plane . The flight engineer's failure to recognize an unsafe condition of the cabin door despite three completely separate warnings of that condition and the captain's action in continuing flight while pressurized despite the several warnings that the main cabin door was not properly locked.,-22.911014,-43.209373,1952
1216,1216,1216,12/17/1953,06:50,"Guam, Mariana Islands",Military - U.S. Air Force,,,Boeing B-29,44-87741,,16.0,11.0,8.0,"The aircraft crashed into an officer's housing area after attemping to make an emergency landing with an engine out,at Anderson Air Force Base on Guam.",13.450126,144.757551,1953
1221,1221,1221,10/29/1952,08:30,"Near Flagstaff, Arizona",Military - U.S. Air Force,,,Boeing KC-97G Stratofreighter,52-2711,16733,16.0,16.0,0.0,Struck Gray Mountain in poor visibility while en route.,35.198752,-111.651823,1952
1223,1223,1223,11/07/1952,03:00,"Near Summit, Alaska",Military - U.S. Air Force,,Elmendorf AFB - Big Delta,Fairchild C-119C,51-2560A,10518,19.0,19.0,0.0,"A course deviation led to the aircraft crashing into Mt. McKinley at an elevation of 12,000 ft.",63.331235,-149.122104,1952
1224,1224,1224,11/14/1952,14:45,"Near Seoul, South Korea",Military - U.S. Air Force,,,Fairchild C-119C,51-2551A,,44.0,44.0,0.0,"Struck a mountain at an elevation of 2,000 ft. as it prepared to land at U.S. military base K-16. The mountains were obscured by low clouds.",37.566679,126.978291,1952
1227,1227,1227,11/22/1952,20:15,"Mount Gannett, Alaska",Military - U.S. Air Force,,,Douglas C-124A Globemaster,51-107A,464096,52.0,52.0,0.0,"Bound for Elmendorf Air Force Base, the aircraft struck the south slope of Mount Gannett. The plane drifted off course due to high winds.",61.283568,-148.288023,1952
1228,1228,1228,11/28/1952,00:50,"Near Tacoma, Washington",Military - U.S. Air Force,,,Douglas C-54G (DC-4),,,38.0,37.0,0.0,Crashed in poor visibility and fog after diverting to Great Falls. The No. 3 engine failed and the plane crashed into trees approximately 1 mile southwest of the airport. An 8-year old boy was the only survivor.,47.24958,-122.439875,1952
1230,1230,1230,12/06/1952,04:40,"Off Bermuda-Kindley Field, Bermuda",Cubana de Aviacion,,Madrid - Azores - Bermuda - Havana,Douglas DC-4,CU-T397,10319,41.0,37.0,0.0,Crashed dived into the sea approximately 5 miles from the airport shortly after taking off. Cause unknown. The plane was called 'The Star of the East.',32.364576,-64.703285,1952
1231,1231,1231,12/20/1952,06:30,"Moses Lake, Washington",Military - U.S. Air Force,,,Douglas C-124A Globemaster,50-100,43238,115.0,87.0,0.0,Within two minutes after takeoff the aircraft began to lose altitude. It crashed and burned into a snow laden field at the end of the airstrip. Failure of the pilot to remove the rudder and elevator locking pin prior to taking off.,47.130142,-119.278077,1952
1236,1236,1236,01/05/1953,20:53,"Belfast, Northern Ireland",British European Airways,,Northolt - Belfast,Vickers Viking 610-1B,G-AJDL,262,35.0,27.0,0.0,Crashed into approach lights while attempting to land.  Error of judgement on the part of the pilot.,54.596441,-5.930276,1953
1239,1239,1239,01/15/1953,04:48,"25 nm off Agrigento, Italy",Military -Royal Air Force,-,,Vickers Valetta Mk1 / Avero Lancaster,VX562 / TX270,,26.0,26.0,0.0,,37.32084,13.58876,1953
1245,1245,1245,02/14/1953,17:10,"Off Mobile, Alabama",National Airlines,470,Miami - Orlando - New Orleans,Douglas DC-6,N90893,43057/73,46.0,46.0,0.0,"The aircraft crashed into the Gulf of Mexico off Mobile, Alabama. The aircraft broke up in the turbulence of a 'frontal wave' storm after failure of  the left wing. The loss of control followed by the in-flight failure and separation of portions of the airframe structure while the aircraft was traversing an intense frontal-wave type storm of extremely severe turbulence, the severity and location of which the pilot had not been fully informed.",30.694357,-88.043054,1953
1246,1246,1246,03/03/1953,03:35,"Karachi, Pakistan",Canadian PacifiAir Lines,,Karachi - Rangoon,de Havilland DH106 Comet 1A,CF-CUN,06014,11.0,11.0,0.0,"The aircraft overran the runway during takeoff. Excessive nose-up attitude of the aircraft during the takeoff run producing a partly stalled condition and excessive drag. The pilot who had only limited experience in the Comet aircraft, elected to takeoff at night at the maximum permissable takeoff for the prevailing conditions. The circumstances required strict adherence to the prescribed takeoff technique, which was not complied with.  First fatal crash of a commercial jet aircraft. The aircraft was named Empress of Hawaii.",24.854684,67.020706,1953
1250,1250,1250,03/18/1953,04:10,"Random Island, Newfoundland",Military - U.S. Air Force,,Azores - Rapid City AFB,Convair RB-36H,51-13721A,,23.0,23.0,0.0,"The aircraft, flying low over the AtlantiOcean, was to have flown higher when it reached the coast. Tail-winds caused the aircraft to arrive earlier and the plane hit a hill in low cloud cover.",48.144665,-53.730425,1953
1251,1251,1251,03/20/1953,18:38,"Alvarado, California",Transocean Air Lines,942,Roswell - Oakland - Guam,Douglas DC-4  (C-54-10-DO),N88942,36076,35.0,35.0,0.0,"The aircraft crashed into a flat barley field and burned. The aircraft first struck the ground with its right wing tip in a near vertical position, cartwheeled and disintegrated. All 30 passengers were maintenance personnel from the 509th Bomb Wing, noted for dropping the atomibombs on Japan. Accumulation of ice on the surfaces of the aircraft in sufficient magnitude to have caused loss of control. Official cause of loss of control unknown.",27.641736,-113.380568,1953
1259,1259,1259,04/20/1953,23:08,"San Francisco Bay, California",Western Airlines,636,Los Angeles - San Francisco - Oakland,Douglas DC-6B,N91303,43823,10.0,8.0,0.0,The aircraft descended below minimum altitude and crashed into the sea. The pilot's action in continuing a descent below the 500 ft. prescribed minimum altitude until the aircraft struck the water. A probable contributing factor to the aircraft striking the water was the sensory illusion experienced by the pilots.,37.714029,-122.307794,1953
1260,1260,1260,05/02/1953,16:35,"Near Jalalogori, West Bengal, India",British Overseas Airways,783/057,Calcutta - Delhi,de Havilland DH106 Comet 1,G-ALYV,06008,43.0,43.0,0.0,The aircraft crashed 6 minutes after taking off from Dum Dum Airport. The accident occurred during a violent thunderstorm. Wreckage indicated that the aircraft broke up in the air. Failure of both elevator spars caused by a heavy down-load that may have been associated with a pull-up maneuver. Severe gusts encountered in the thundersquall and overcontrolling or loss of control by the pilots when flying through the thunderstorm. The aircraft was nicknamed 'York Victor.',,,1953
1262,1262,1262,05/09/1953,01:28,"New Delhi, India",Air India,,Delh - Ahmedabad - Bombay,Douglas DC-3,VT-AUD,13716,18.0,18.0,0.0,"Stalled following takeoff. An error of judgement by the pilot, who executed a steep starboard turn. He could not come out of the overbanked turn in time because of the low altitude. Inexperience of the pilot with the type of the aircraft which he was flying.",28.613895,77.209006,1953
1264,1264,1264,05/17/1953,14:15,"Near Marshall, Texas",Delta Air Lines,318,Dallas - Shreveport,Douglas DC-3,N28345,2224,20.0,19.0,0.0,"The plane crashed 13 miles east of Marashall Texas, during an approach to Shreveport in a severe thunderstorm. The encountering of conditions in a severe thunderstorm that resulted in loss of effective control of the aircraft and the failure of the captain to adhere to company directives requiring the avoidance of thunderstorms when conditions would allow such action.",32.544776,-94.3661,1953
1265,1265,1265,05/25/1953,15:30,"Amsterdam, Netherlands",KLM Royal Dutch Airlines,,Amsterdam - Paris,Convair CV-240-4,PH-TEI,125,34.0,0.0,2.0,"While taking off the plane reached a height of about  50 ft. after which flaps were retracted. The plane began to lose height and crash landed into a meadow. While no one on the plane died, two girls on a bicycle path were killed.",52.37276,4.893604,1953
1270,1270,1270,06/18/1953,16:34,"Tachikawa AFB, Tokyo, Japan",Military - U.S. Air Force,,Tachikawa AB - Kimpo AB,Douglas C-124A Globemaster II,51-137A,43471,129.0,129.0,0.0,Crashed shortly after taking off from Tachikawa Air Base. Engine failure during takeoff. Premature application of full flaps during a three engine approach resulting in loss of air speed and crash. First aviation disaster to claim more than 100 lives.,35.6895,139.69171,1953
1271,1271,1271,07/12/1953,08:41,"PacifiOcean, 325 miles east of Wake Island",Transocean Air Lines,512,Wake Island - Honolulu - Oakland,Douglas DC-6A,N90806,42901/153,58.0,58.0,0.0,"Lost at sea while en route from Wake Island to Honolulu, Hawaii, approximately 325 miles east of Wake Island. Cause not determined, but there was thunderstorms and turbulence in the area. Fourteen bodies and all life rafts were recovered. The plywood panel from the navigator's table was recovered with the words 'falling in' written on it. There is some speculation that a bomb caused the accident. The aircraft was named 'The Royal Hawaiian.'",19.31,166.6,1953
1272,1272,1272,07/17/1953,23:15,"Near Milton, Florida",Military - U.S. Navy,,Whitting NAS - Norfolk NB,Fairchild R4Q-2,131663,,46.0,44.0,0.0,"The co-pilot failed to maintain a sufficient rate of climb after becoming airborne, struck obstacles and crashed into a wooded area.",30.632415,-87.039688,1953
1273,1273,1273,07/27/1953,12:30,"Near Kanggye, North Korea",Aeroflot,,,Ilyushin IL-12,,,21.0,21.0,0.0,Shot down by a U.S. Air Force F-86 jet fighter towards the end of the Korean War. The Russian government claimed the plane was over Chinese air space.,40.9659,126.59754,1953
1275,1275,1275,08/03/1953,02:28,"Off Fethiye Point, Turkey",Air France,,Rome - Beirut,Lockheed L- 749A Constellation,F-BAZS,2628,42.0,4.0,0.0,The No. 3 engine broke away from the aircraft following severe vibrations causing loss of control of the No. 4 engine and necessitating a ditching 1.5 miles from the coast. Failure in flight of a propeller blade. Four passengers drowned.,36.621743,29.120949,1953
1281,1281,1281,09/08/1953,13:16,"San Andres, Honduras",TACA,,San Pedro - San Andres,Douglas C-47A,XH-TAR,13817/25262,3.0,3.0,0.0,After a missed approach the No. 2 engine of the cargo plane failed. Failure of the right engine when the pilot wished to obtain maximum power from both engines after a missed landing.,14.221753,-88.550788,1953
1283,1283,1283,09/16/1953,08:34,"Albany, New York",American Airlines,723,Boston - Hartford - Albany - Chicago,Convair CV-240-0,N94255,116,28.0,28.0,0.0,"After circling, the aircraft crashed into two radio towers while on approach to Albany Municipal Airport. While the pilot was aligning with the runway, he descended below obstructions partially obscured by fog. Crew's failure to abandon the landing under adverse weather conditions.",42.651167,-73.754968,1953
1289,1289,1289,10/19/1953,00:56,"New York City, New York",Eastern Air Lines,627,New York City - San Juan,Lockheed 749A Constellation,N119A,2616,27.0,2.0,0.0,The aircraft crashed a few seconds after becoming airborne. The captain's loss of visual reference and orientation when he encountered drifting fog shortly after becoming airborne on take-off and the resultant inadvertent assumption of a descending flight path.,40.712728,-74.006015,1953
1292,1292,1292,11/11/1953,17:30,"Off Argyll, England",Military - Royal Air Force,,,Avro Shackleton MR-2,WL746,,10.0,10.0,0.0,,50.985764,-1.721916,1953
1299,1299,1299,01/06/1954,17:20,"Near Aldbury, England",Military -Royal Air Force,,Bovingdon AF - Thorney Island,Vickers Valetta,WJ474,599,17.0,16.0,0.0,The aircraft crashed 4 minutes after taking off in a snow shower. The aircraft lost altitude and crashed to the ground for reasons unknown.,51.802207,-0.601543,1954
1300,1300,1300,01/10/1954,09:50,"Off Elba, Italy",British Overseas Airways,781,Rome - London,de Havilland DH106 Comet 1,G-ALYP,06003,35.0,35.0,0.0,The aircraft broke up in-flight while en route from Rome to London. Metal fatigue due to a design flaw caused a breakup of the aircraft. Second crash with the same cause. The aircraft was nicknamed 'Yoke Peter.',45.049699,7.650961,1954
1306,1306,1306,02/01/1954,13:50,"Off Hokkaido, Japan",Military - U.S. Air Force,,Misawa - Chitose,Curtiss-Wright C46D-CU,44-78027A,33423,35.0,35.0,0.0,"After reporting a fire in the cargo hold and that a ditching was imminent,  the last message from the aircraft was 'I've lost control of the aircraft we're going in.'",43.11332,141.367321,1954
1310,1310,1310,02/26/1954,10:32,"Wright, Wyoming",Western Airlines,314,Salt Lake City - Cedar City - Rapid City,Convair CV-240,N8407H,37,9.0,9.0,0.0,"After entering an area of severe turbulence and icing, the plane made a rapid descent and struck the ground at high speed. A sudden emergency of undetermined origin under adverse weather conditions resulting in rapid descent and impact with the ground at high speed.",43.751281,-105.484825,1954
1311,1311,1311,03/04/1954,14:30,"Near St. Etienne de Tinee, France",Military - U.S. Air Force,,"Tripoli, Libya - Hahn, W Germany",Douglas C-47A-DL,42-24096A,9958,20.0,20.0,0.0,"The aircraft struck a mountain and disintegrated at an altitude of 8,000 ft. while en route. The accident occurred in snow and low overcast conditions. The plane had drifted off the prescribed course and no wind drift correction had been made.",44.256401,6.924918,1954
1314,1314,1314,03/19/1954,22:30,"Near Lothian, Maryland",Military - U.S. Air Force,,"Oklahoma - Long Island, NY",Fairchild C-110F,51-7993,10732,18.0,18.0,0.0,Crashed to the ground about 20 minutes after leaving Bolling Air Force Base. The aircraft was circling a radio beacon under VFR waiting for IFR clearance. An attempt to maintain VFR flight at night and in poor visibility.  Possible crew fatigue.,38.829728,-76.615946,1954
1318,1318,1318,04/08/1954,19:10,"Off Stromboli, Italy",British Overseas Airways,201,Rome - Cairo,de Havilland DH106 Comet 1,G-ALYY,06011,21.0,21.0,0.0,The aircraft broke up in-flight and crashed into the sea en route from Rome to Cairo. Metal fatigue due to a design flaw led to the breakup of the aircraft. Third crash with the same cause. The aircraft was nicknamed 'Yoke Yoke.',38.804049,15.237386,1954
1322,1322,1322,04/23/1954,21:25,"Sierra del Vilgo, Argentina",Aerolineas Argentinas,,Mendoza - Cordoba,Douglas DC-3,LV-ACX,12387,25.0,25.0,0.0,Crashed into a mountain during an approach. Deviation from prescribed course for unknown reasons. Crew fatigue may have played a part. The captain acted contrary to company policy regarding a required IFR approach.,-29.40972,-66.892832,1954
1330,1330,1330,07/02/1954,12:00,"Near Salvador, Brazil",Military - Brazilian Air Force,,,Lockheed C-28,C-28-2901,,20.0,20.0,0.0,The aircraft crashed while attempting to land at Salvador. Engine failure at a critical stage in landing.,-12.98225,-38.481277,1954
1332,1332,1332,08/08/1954,15:40,"Near McGrath, Alaska",Alaska Airlines,,McGrath - Colorado Creek,Douglas DC-2,N91008,13977/25422,2.0,2.0,0.0,"Flew into a mountain, 35 miles northeast of McGrath.",62.956389,-155.595833,1954
1333,1333,1333,08/09/1954,00:08,"Terceira Island, Azores, Portugal",AVIANCA,,"Lajes, Azores - Bermuda",Lockheed 749A-79 Constellation,HK-163,2664,30.0,30.0,0.0,"Crashed into mountains after poor weather diverted the flight from Santa Maria. Flew opposite to prescribed course after takeoff. Crew error. The failure of the pilot to carry out the normal climb out procedure following takeoff on a flight to Bermuda and his having made a turn to the left instead of to the right, thus flying into the mountains instead of turning out to sea.",38.721165,-27.217639,1954
1336,1336,1336,08/22/1954,17:03,"Near Mason City, Iowa",Braniff Airlines,152,Memphis - Minneapolis,Douglas DC-3,N61451,4630,19.0,12.0,0.0,"The aircraft crashed 16 miles south of Mason City, Iowa due to a loss of control after penetrating an area of thunderstorms during a go-around. The flight, while endeavouring to traverse a thunderstorm area, encountered very heavy rain, divergent winds, and strong downdrafts that forced the aircraft to the ground.",43.153573,-93.201037,1954
1337,1337,1337,08/23/1954,11:35,"Near Dutch Coast, North Sea",KLM Royal Dutch Airlines,,Shannon - Amsterdam,Douglas DC-6B,PH-DFO,43556/257,21.0,21.0,0.0,Crashed into the North Sea in rain showers and heavy seas. Cause not determined.,,,1954
1339,1339,1339,08/27/1954,22:10,"Near Rapid City, South Dekota",Military - U.S. Air Force,,,Convair RB-36H,51-13722,,27.0,26.0,0.0,Crashed while making practice approaches to Ellsworth Air Force Base during its sixth attempt. The plane slammed into to ground with landing gear retracted and flaps set at 20 degrees.,,,1954
1340,1340,1340,09/05/1954,02:30,"Foynes, Ireland",KLM Royal Dutch Airlines,633,Shannon - New York City,Lockheed 1049C-55-81 S Constellation,PH-LKY,4509,56.0,28.0,0.0,"Less than a minute after takeoff, the aircraft crashed into a mudbank of the Shannon River. Although the crash site was only about 2,500 metres from the airport, no one was aware of the disaster. Rescue operations were only started after the plane's navigator, after having crossed the river, managed to reach the airport. The aircraft was partially submerged, and at least one of the fuel tanks had ruptured during the crash. The fuel fumes rendered many passengers and crew unconscious, who then drowned in the rising tide. Failure of the captain to interpret his instrument indications properly during flap retraction after the gear was re-extended.",52.611141,-9.110951,1954
1341,1341,1341,09/12/1954,20:08,"Off Rio de Janeiro, Brazil",Cruzeiro,,,Douglas DC-3,PP-CDJ,19278,30.0,6.0,0.0,The plane was attemping to return to the Rio de Janeiro after severe vibrations in the No. 1 engine made the crew feather the prop.  While on final the aircraft came in too high and a go-around was attempted during which the plane crashed into the sea.   Lack of reference to instruments after opening the throttle to go-around in restricted visibility.  Power may have been inadvertently reduced on the good engine.,-22.911014,-43.209373,1954
